Title,Company,Location,Stipend,Skills
Social Media Marketing,All Things Design,Mumbai(Hybrid),No Stipend,"Content Writing, Search Engine Marketing (SEM), Video Editing, Search Engine Optimization (SEO), Creative Writing, Video Making, Instagram Marketing"
Teaching,PenPencil,Delhi,No Stipend,"Teaching, English Proficiency (Spoken), English Proficiency (Written)"
Videography,Deepika Das,Delhi,No Stipend,"Video Editing, Video Making, Canva"
Digital Marketing,JP Tech Studio,"Delhi, Noida(Hybrid)",No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Email Marketing, Instagram Marketing"
Acting,NutrachocoActively hiring,Work from home,No Stipend,"English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Content and Social Media Marketing,Xoduse Trading & Media,Chennai,No Stipend,"Digital Marketing, Analytical Thinking"
Event Operations (MMML),Alpha Aces LLP,Mumbai(Hybrid),No Stipend,"Event Management, Negotiation, Time Management, Problem Solving, Coordination, Interpersonal skills, Effective Communication"
Business Development (Sales),Signature Electric Co.,Ranchi,No Stipend,"Client Relationship, Marketing, Effective Communication"
Marketing,Firststore.ioActively hiring,Work from home,No Stipend,"MS-Excel, English Proficiency (Written), Hindi Proficiency (Spoken)"
Telesales,Firststore.ioActively hiring,Work from home,No Stipend,"MS-Excel, English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Inside Sales,Firststore.ioActively hiring,Work from home,No Stipend,MS-Excel
Telecalling,Firststore.ioActively hiring,Work from home,No Stipend,"MS-Excel, English Proficiency (Written), Hindi Proficiency (Spoken)"
Business Development (Sales),Firststore.ioActively hiring,Work from home,No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Marketing Strategies, Sales Strategy"
Corporate Sales,Firststore.ioActively hiring,Work from home,No Stipend,"MS-Excel, Sales"
Telecalling,Skechify IT Solutions Pvt Ltd,Work from home,No Stipend,"Networking, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Effective Communication"
Content Writing,1MillionResume,Bareilly,No Stipend,"Blogging, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Written)"
Mathematics Expert Doubt Solving,KUNDUZ TECHNOLOGIES PRIVATE LIMITEDActively hiring,Work from home,No Stipend,Mathematics
Graphic Design,Wishtree InfoSolutions,Kochi,No Stipend,"Adobe Photoshop, Adobe Illustrator, Video Editing"
Social Media Marketing,Workforce Connect India Private Limited,Gurgaon,No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Content Marketing"
Digital Marketing,Revolusis Technology Solutions Pvt. Ltd.,Gurgaon,No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Email Marketing"
Digital Marketing,Risaka Soaps And Products (OPC) Private Limited,Hyderabad(Hybrid),No Stipend,"Social Media Marketing, Digital Marketing, Creative Writing, Photography, Image Editing, Instagram Marketing, Generative AI Tools"
Graphic Design,LightForms,"Ludhiana, Bangalore",No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator, Adobe Creative Suite, Adobe InDesign, Autodesk 3ds Max, KeyShot"
AI Driven Content Generation,AY Low Cal & Healthy Foods Private Limited,Work from home,No Stipend,Adobe Premiere Pro
Content & E-Commerce Management,Ruchicaz Overseas,Noida,No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Digital Marketing,Baweja MediaActively hiring,Work from home,No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Email Marketing, English Proficiency (Spoken)"
Human Resources (HR),DevTownActively hiring,Work from home,No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Content and Social Media Marketing,Surge Media,Mumbai,No Stipend,"Social Media Marketing, Branding, Video Editing, Storyboarding, Canva, Influencer Marketing, Marketing Automation"
Sales,SkillLoopActively hiring,Work from home,No Stipend,"Client Interaction, Sales, Marketing, Effective Communication, Collaboration"
Video Editing/Making,Sunrisemitra Global Technologies,Hyderabad(Hybrid),No Stipend,"Adobe Photoshop, Adobe Illustrator, Video Editing, Video Making"
Graphic Design,Raino Digi Media,Mumbai,No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Adobe Creative Suite, Adobe InDesign"
Finance & Accounting,Kwikmedi,Gurgaon,No Stipend,"Accounting, Taxation, MS-Excel, Auditing, Financial Analysis, Enterprise Resource Planning(ERP), Data Analysis"
Marketing,Apna Vikas Online Services Private LimitedActively hiring,Work from home,No Stipend,"Social Media Marketing, Digital Marketing, English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, Effective Communication, Influencer Marketing"
Content and Social Media Marketing,SR Next,Ujjain,No Stipend,"Content Writing, Content Editing"
Video Editing/Making,Scenology Studios,Pimpri-Chinchwad,No Stipend,"Adobe Photoshop, Video Editing, Adobe Premiere Pro, Adobe After Effects, DaVinci Resolve"
Graphic Design,Performance Launchpad,Gurgaon(Hybrid),No Stipend,"Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite, Adobe Animate, UI & UX Design"
Inside Sales,Digital Hub Solution,Noida,No Stipend,"MS-Excel, Effective Communication"
Video Editing/Making,Fantastic Media,Delhi,No Stipend,"Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Business Development (Sales),Swati Jain,Jaipur,No Stipend,"Social Media Marketing, Interpersonal skills, Market research, Sales Strategy"
Business Development (Sales),TaxDisha,Kolkata,No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Customer Service/Customer Support,Varsha Jha,Delhi,No Stipend,English Proficiency (Spoken)
Telecalling,Machwan Communication & Research,Delhi,No Stipend,"MS-Excel, English Proficiency (Spoken)"
Graphic Design / Video Editing,Techsche Pvt Limited,Thiruvananthapuram,No Stipend,"Adobe Photoshop, Video Editing, Adobe Premiere Pro, Adobe After Effects, Image Editing"
Video Editing/Making,LeapUp Edutech,Mumbai(Hybrid),No Stipend,"Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
Digital Marketing,Altaworld,Work from home,No Stipend,"Social Media Marketing, Digital Marketing, Search Engine Optimization (SEO), Creative Writing"
Business Development (Sales),Social Lalten,Delhi(Hybrid),No Stipend,"Social Media Marketing, Digital Marketing, Digital Advertising, English Proficiency (Spoken)"
Content and Social Media Marketing,D.Pathak Presidency,Lucknow,No Stipend,Social Media Marketing
HR Consultant,Shweta Gurnani,Jaipur,No Stipend,"Interpersonal skills, Effective Communication"
Fundraising,Hamari Pahchan NGOActively hiring,Work from home,No Stipend,"Social Media Marketing, Leadership, Presentation skills, MS-Excel, Report Writing, Teamwork, English Proficiency (Written)"
Talent Acquisition,Posterity Consulting,Noida,No Stipend,"Recruitment, Interviewing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Interview Coordination"
Interior Design,Adventurecode Business LLP,Guwahati,No Stipend,"AutoCAD, Google SketchUp"
Video Editing/Making,Warewe Consultancy Private LimitedActively hiring,Work from home,No Stipend,"Adobe Premiere Pro, Final Cut Pro, Video Making"
Digital Marketing,Business Magnets Workspaces,Work from home,No Stipend,"Google AdWords, Search Engine Optimization (SEO), CMS (Content Management System), Facebook Ads"
Video Editor,HiTechEcomActively hiring,Work from home,No Stipend,"Adobe Premiere Pro, Final Cut Pro, Facebook Marketing, Canva, Instagram Marketing"
Business Development (Sales),Yogi FoundationActively hiring,Gorakhpur,No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), Business Development, Sales Strategy"
UI/UX Design,Fluidesigns India (Opc) Private LimitedActively hiring,Work from home,No Stipend,"Adobe Illustrator, Wireframing, UI & UX Design, Figma"
Business Development (Sales),Saamsha Technologies,Pune(Hybrid),No Stipend,"Email Marketing, Lead Generation, Business Development, Interpersonal skills"
Research Manager– Business Automations,Entrepreneur Growth Lab (OPC) Private LimitedActively hiring,Work from home,No Stipend,"JavaScript, Python, Problem Solving, Report Writing, Business Analysis, Automation, Product Development"
UGC Video Content Creator,The Sirius Academy,"Delhi, Gurgaon, Noida(Hybrid)",No Stipend,English Proficiency (Spoken)
Recruitment,CIEL HR Services Private Limited,Chennai,No Stipend,"MS-Office, MS-Excel, Hindi Proficiency (Spoken), Talent Management, Salary structure"
Business Development (Sales),KONRAD Fernandez,Work from home,No Stipend,"Lead Generation, Sales"
Recruitment,myfollo,"Delhi, Gurgaon",No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Social Media Marketing,ItIndia,Kolkata(Hybrid),No Stipend,"Social Media Marketing, Facebook Marketing, YouTube Ads"
Sales and Marketing,Bharat Art Installations,Gurgaon,No Stipend,Effective Communication
Business Development (Sales),Bharat Earn Technology Private Limited,Kolkata,No Stipend,"Cold Calling, Lead Generation"
Flutter Development,Excelsior,Mumbai,No Stipend,Flutter
Travel Consultant,Axe Consultancy And Security Services LLCActively hiring,Work from home,No Stipend,"Data Interpretation, English Proficiency (Spoken), English Proficiency (Written), Travel Itinerary Making, Holiday Package Design"
Full Stack Development,"KreupAI Technologies LLC (Dubai, United Arab Emirates)Actively hiring",Work from home,No Stipend,"PHP, MySQL, HTML, CSS, JavaScript, Node.js, PostgreSQL"
Business Development (Sales),Proton Labs,Work from home,No Stipend,"MS-Excel, English Proficiency (Spoken), Research and Analytics"
Graphic Design,Cannibals Media Pvt. Ltd.Actively hiring,Work from home,No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator"
Digital Marketing,PINAKINI WEBIO TECH SOLUTIONS PRIVATE LIMITED,Hyderabad,No Stipend,"Social Media Marketing, Digital Marketing, Facebook Marketing, Creative Writing, MS-Excel, English Proficiency (Spoken), Hindi Proficiency (Spoken)"
React Native Development,NovaFocus Private LimitedActively hiring,Bangalore,No Stipend,"JavaScript, React, React Native, iOS, Android, Firebase"
Social Entrepreneurship,Basti Ki Pathshala FoundationActively hiring,Work from home,No Stipend,Effective Communication
Business Development (Sales),ByteWolf Technologies,Delhi(Hybrid),No Stipend,Social Media Marketing
Photography,Dazz Photography,"Pune, Mumbai",No Stipend,"Adobe Photoshop, Video Editing, Photography, Video Making, Adobe Photoshop Lightroom CC"
Travel & Tourism,Boundless Explorism,Mumbai,No Stipend,"Leadership, Team Management, Photography, Video Making, Coordination, English Proficiency (Spoken)"
Recruitment,PR Skill Venture Private Limited,Noida,No Stipend,"MS-Office, Recruitment, MS-Excel, Human Resources, English Proficiency (Spoken), Sales"
Telecalling,Matiz Solutions Private Limited,Pune,No Stipend,"Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), Effective Communication"
Content and Social Media Marketing,Cars In Budget,Noida,No Stipend,"Adobe Photoshop, Search Engine Optimization (SEO), Canva"
Business Research,Forward Impact,Indore,No Stipend,"MS-Office, MS-PowerPoint, B2B Sales, English Proficiency (Spoken), Research and Analytics, Sales, Marketing"
Office And Admissions Executive (Female Candidates Only),SB Play School,Delhi,No Stipend,"Event Management, Project Management, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Human Resources (HR),Athena Overseas,Mumbai,No Stipend,"MS-Office, MS-Excel"
Sales and Marketing,Toolsbots Innovatix PVT Ltd,Work from home,No Stipend,"MS-Excel, Effective Communication"
Flutter Development,Digital GurujiActively hiring,Work from home,No Stipend,Flutter
Client Counsellor & Brand Image Manager,Riding Roots Adventure,"Chandigarh, Kharar, Mohali, Zirakpur, Dera Bassi, Panchkula(Hybrid)",No Stipend,"Social Media Marketing, Branding, Digital Marketing, Client Interaction, Client Relationship, LinkedIn Marketing, Sales"
Full Stack Development,Digital GurujiActively hiring,Work from home,No Stipend,"HTML, CSS, JavaScript, MongoDB, Node.js, Express.js"
Sales and Marketing,Kamzo.app,Bangalore,No Stipend,"Client Interaction, MS-Excel, Client Relationship Management (CRM), Customer Support, Google Sheets"
Marketing,XplainerrActively hiring,Bangalore,No Stipend,"Social Media Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written)"
Video Editing/Making,Kaptick Ventures,Delhi(Hybrid),No Stipend,"Video Editing, Adobe Premiere Pro, Video Making"
Content and Social Media Marketing,Green India E-Waste & Recycling OPC Pvt Ltd,"Navi Mumbai, Vashi",No Stipend,"Social Media Marketing, Image Editing, LinkedIn Marketing, Canva, Instagram Marketing"
Search Engine Optimization (SEO),Alturas HR Consultants,Delhi,No Stipend,"Google Analytics, Digital Marketing, Google AdWords, Search Engine Optimization (SEO)"
Import/Export Executive,Matrix Exports,Bangalore,No Stipend,"Negotiation, MS-Word, Time Management, MS-Excel, Problem Solving, Lead Generation, Effective Communication"
Human Resources (HR),ABEX Excellence Private LimitedActively hiring,Chennai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
Web Development,The Affordable Organic StoreActively hiring,Hyderabad,No Stipend,"HTML, CSS, JavaScript, Node.js, MS SQL Server, React, VS Code"
E-Commerce Business Management,Itihas Sarwade,Bangalore(Hybrid),No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Telugu Proficiency (Written), Telugu Proficiency (Spoken)"
Market Research,ABEX Excellence Private LimitedActively hiring,Chennai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Research and Analytics"
Software Development,Xto10x TechnologiesActively hiring,Bangalore,No Stipend,"MySQL, HTML, CSS, JavaScript, Node.js, React"
Digital Marketing,Techpanda Solutions (Unit Of Aishwarya Ventures),Work from home,No Stipend,"Computer skills, English Proficiency (Spoken), Kannada Proficiency (Spoken)"
E-Commerce Catalog Management,Miraaki ByKavita,Work from home,No Stipend,"Content Writing, Attention to Detail, Time Management, E-commerce, Market Analysis, Search Engine Optimization (SEO), MS-Excel"
Fashion Consultant,TISASTUDIO,Mumbai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Interpersonal skills, Effective Communication"
Business Development (Sales),HappyWrap,Hyderabad,No Stipend,"Presentation skills, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Brand Partnership,Hypetrics,Work from home,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Effective Communication"
Social Media Marketing,NABKISAN Finance Ltd.,Mumbai,No Stipend,"Social Media Marketing, Adobe Photoshop, Digital Marketing, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Sales and Marketing,Infinity Solutions,Work from home,No Stipend,"Sales Support, Effective Communication, Sales Strategy"
AI Generalist Manager,ATZA DigitalActively hiring,Delhi,No Stipend,"Research and Analytics, Generative AI Tools, Prompt Engineering"
Business Development (Sales),Non Veg City,Work from home,No Stipend,"Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Content and Social Media Marketing,Brahma Sports,Mumbai(Hybrid),No Stipend,"Social Media Marketing, Content Writing, Content Management, Sports, Storytelling"
Content Writing,Sprout Road,Kolkata,No Stipend,"Blogging, Creative Writing, English Proficiency (Written)"
Video Editing/Making,Fitoja,Delhi,No Stipend,"Video Editing, Canva"
Architecture,Fulora Foundation,Mumbai,No Stipend,"AutoCAD, MS-Office, Adobe Photoshop, Autodesk Revit, Google SketchUp, BIM (Building Information Modeling)"
Social Media,Khyati Gupta,Work from home,No Stipend,"Creative Writing, Poster Design, LinkedIn Marketing, Instagram Marketing"
Project Management,Kinder Sports LLP,Pune,No Stipend,"MS-Excel, Effective Communication"
Digital Marketing,Wear It Like This,"Secunderabad, Hyderabad",No Stipend,"Social Media Marketing, Instagram Marketing, Marketing Strategies"
Graphic Design,Trousseau By Sangita,Ahmedabad,No Stipend,"Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Adobe Creative Suite, Adobe InDesign, UI & UX Design"
Field Sales,Sudhir Memorial Institute,"Kolkata, Hooghly, Howrah(Hybrid)",No Stipend,"Bengali Proficiency (Spoken), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Sales and Marketing,NEEEV,Delhi(Hybrid),No Stipend,"Sales, Marketing"
Video Editing/Making,Ashva Wearable Technologies,Bangalore,No Stipend,"Video Editing, Videography, Video Making, English Proficiency (Spoken), Video Marketing"
RGUHS - Questions & Answers,Lohith M S,Work from home,No Stipend,"MS-Office, English Proficiency (Spoken), English Proficiency (Written)"
Performance Nutrition Research,Shubham Shinde,"Pune, Mumbai(Hybrid)",No Stipend,"Research and Analytics, Effective Communication, Data Analysis"
Digital Marketing Analytics,GreenDumbells,Work from home,No Stipend,"Google Analytics, WordPress, Search Engine Optimization (SEO), MS-Excel, Facebook Ads, Google Tag Manager, Google Keyword Planner"
Media & Public Relations (PR),Aarambh Communications,Noida,No Stipend,"Content Writing, Creative Writing, Public Relations, English Proficiency (Spoken), English Proficiency (Written)"
Digital Marketing,Inceptionmind Technologies,Bangalore,No Stipend,"Social Media Marketing, Content Writing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written)"
Business Analytics,ABEX Excellence Private LimitedActively hiring,Chennai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Research and Analytics"
Digital Marketing,Talsko,Work from home,No Stipend,"Social Media Marketing, Adobe Illustrator, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Client Relationship Management (CRM), Marketing Strategy"
Content and Social Media Marketing,Glamwiz,Delhi(Hybrid),No Stipend,"Social Media Marketing, Creative Thinking, Problem Solving, Design Thinking, English Proficiency (Written), Canva, Creative Direction"
E-Commerce Operations,Gallaa Futures Private Limited,Bangalore,No Stipend,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Computer skills, English Proficiency (Spoken), English Proficiency (Written)"
Content and Social Media Marketing,PNR Club Private Limited,Delhi,No Stipend,"Social Media Marketing, Video Editing, Effective Communication, Graphic Design"
Unreal Engine Developer (Game),"Cyrus 365 (Hong Kong, Hong Kong SAR)Actively hiring",Work from home,No Stipend,"C++ Programming, Unreal Engine"
Customer Success Manager,Xobin Technologies Private LimitedActively hiring,Work from home,No Stipend,"Networking, B2B Sales, Effective Communication, ATS"
Business Development (Sales),BPOptima,Work from home,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
Software Development,"Fiddle (San Francisco, United States)Actively hiring",Work from home,No Stipend,"Frontend development, React, Backend development"
Digital Marketing,Penster,Hyderabad,No Stipend,"Social Media Marketing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Sprout Media,Delhi,No Stipend,"Negotiation, Digital Marketing, Email Marketing, English Proficiency (Written), Sales"
Music,Thouzen,Delhi,No Stipend,Music
Hotel Management(Chef),TRIPLE INFOTECH,Bangalore,No Stipend,Culinary Arts
Data Science,Emoolar Technology Private LimitedActively hiring,Work from home,No Stipend,"Python, Machine Learning, Data Science, Natural Language Processing (NLP), Deep Learning, Artificial intelligence, CNN (Convolutional Neural Network)"
Sales and Marketing,AH Enterprises,Bangalore(Hybrid),No Stipend,Sales
Web Development,Emoolar Technology Private LimitedActively hiring,Work from home,No Stipend,"HTML, CSS, JavaScript, .NET, Django, Node.js, React"
NGO Fundraiser,Portia Global,Work from home,No Stipend,Effective Communication
Business Analyst(GRC Domain),Transition Computing IndiaActively hiring,Hyderabad,No Stipend,"Analytical Thinking, MS-Excel, Problem Solving, Risk Management, Effective Communication, Requirements Gathering"
Design,Miko,Mumbai,No Stipend,"2D Animation, Figma, Generative AI Tools, Graphic Design"
Business Development (Sales),InfinHR Global,Work from home,No Stipend,"Lead Generation, Business Development, Sales"
Digital Marketing And Sales,Brainchain.network,Pune,No Stipend,"Presentation skills, Digital Marketing, Digital Marketing Tools"
Business Development (Sales),BrandsharkActively hiring,Bangalore,No Stipend,"Social Media Marketing, Digital Marketing, English Proficiency (Spoken), Hindi Proficiency (Spoken)"
Content and Social Media Marketing,Decode Growth,Delhi,No Stipend,"Content Writing, Facebook Marketing, Script Writing, Video Making, Instagram Marketing, Effective Communication"
Business Development (Sales),Pegasus Consulting,Bangalore(Hybrid),No Stipend,"MS-Excel, English Proficiency (Spoken), Effective Communication"
Law/Legal,Legal Icons,Delhi,No Stipend,"MS-Office, MS-Word, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics"
Graphic Design,HerbalNest,Work from home,No Stipend,"Adobe Photoshop, CorelDRAW, Canva"
Content & Marketing Associate,Shorts & Shots Travel,"Delhi, Noida(Hybrid)",No Stipend,"Social Media Marketing, MS-Office, MS-Word, Content Marketing, English Proficiency (Spoken), English Proficiency (Written), Canva"
Hospitality,Event Corporation,Jaipur(Hybrid),No Stipend,"Presentation skills, Networking, MS-Excel, Hospitality, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills"
Full Stack Development,MoonriderActively hiring,Bangalore,No Stipend,"MySQL, HTML, JavaScript, Python, MongoDB, Node.js, Express.js"
Educational Written Video Solutions,Polestar EducationsActively hiring,Work from home,No Stipend,"Physics, Chemistry, Mathematics, Biology, English Proficiency (Written), Hindi Proficiency (Spoken)"
Product Management,MoonriderActively hiring,Bangalore,No Stipend,"Product Management, English Proficiency (Spoken), Figma, Program Management"
Graphic Design,BrandsharkActively hiring,Bangalore,No Stipend,"Adobe Photoshop, Adobe Illustrator"
People & Culture Manager,Aspiring Brands Private LimitedActively hiring,Gurgaon,No Stipend,"Recruitment, Human Resources, HR Operations, Document Management"
Social Media Marketing,Moshi MoshiActively hiring,Bangalore,No Stipend,"Social Media Marketing, Strategy, Content Management"
Content Writing,Adhyyan Books International Private LimitedActively hiring,Gurgaon,No Stipend,"Blogging, Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Sales Manager - Email Marketing,SingleBitActively hiring,Work from home,No Stipend,"Email Marketing, Lead Generation, Business Development"
Social Media Marketing,Adpeak MediaActively hiring,Jaipur,No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, English Proficiency (Spoken)"
UI/UX Design,FYSCAL TECHNOLOGIES PTE. LTD.,"Delhi, Noida",No Stipend,"Animation, Adobe After Effects, Prototyping, UX Research, Visual Design, Design Thinking, Adobe XD"
Client Servicing,Luxaire,Bangalore,No Stipend,"MS-Office, Client Relationship Management (CRM), English Proficiency (Spoken)"
Business Development Associate,Talrn.com,Thane,No Stipend,"MS-PowerPoint, MS-Excel, Interpersonal skills, Effective Communication"
Business Development (Sales),Saujil Global,Noida,No Stipend,"Digital Marketing, Market Analysis, Email Marketing, MS-Excel, Content Marketing, LinkedIn Marketing, English Proficiency (Spoken)"
Sports Marketing Analyst,WebGhat,Work from home,No Stipend,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Digital Marketing,BigBay Cinema Factory Private Limited,"Chennai, Kodambakkam",No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Email Marketing"
Social Media & Communications Manager,"Rally Portal LLC (Dubai, United Arab Emirates)Actively hiring",Work from home,No Stipend,"Google Drive, Google Docs, English Proficiency (Spoken), English Proficiency (Written), Canva, Effective Communication, Community Management"
Digital Marketing,HYPERFIER ELECTRONICS,Delhi(Hybrid),No Stipend,"Digital Marketing, Instagram Marketing"
Backend & AI Manager,Predusk Technology Private Limited (Brand Name: ProcessVenue)Actively hiring,Jaipur,No Stipend,"Python, Node.js, PostgreSQL, REST API, TypeScript, GraphQL, LangChain"
Java Development,Shen PandiActively hiring,Work from home,No Stipend,"Java, JavaScript, Python, React, Amazon Web Services (AWS), Next.js"
Business Development (Sales),StockDaddy,Gurgaon,No Stipend,English Proficiency (Spoken)
Ads Concept Designer,Renske Technologies IncActively hiring,Work from home,No Stipend,"Creativity, Presentation skills, Creative Thinking, Storyboarding, Game development, Display Ads"
Media & Events,Athithi Devo Solutions LLP,Kochi,No Stipend,"Social Media Marketing, Event Management, Videography, Photography, Content Management, Marketing Strategies, Marketing Campaigns"
Sales and Marketing,Indorents & Thrift,Pune(Hybrid),No Stipend,"Effective Communication, Negotiations"
Creative Design,Devbhumi Sportal Foundation,Haridwar,No Stipend,"Adobe Photoshop, CorelDRAW, Adobe Illustrator, UI & UX Design, Adobe After Effects"
Business Development (Sales),CarbonPaperActively hiring,Work from home,No Stipend,"Social Media Marketing, Sales Management, English Proficiency (Spoken), English Proficiency (Written), Sales, Sales Strategy"
Digital Marketing,Nextvi Solution,Work from home,No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), WordPress, Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing"
AI Business Development,Lemon Peel,Mumbai(Hybrid),No Stipend,Business Development
Talent Acquisition,Atlas Tours & Travels Private Limited,Mumbai,No Stipend,"Recruitment, MS-Excel, Human Resources, English Proficiency (Spoken), English Proficiency (Written)"
Travel Consultant,VServe Group,Noida,No Stipend,"Effective Communication, Travel Itinerary Making, Holiday Package Design"
Travel & Tourism,PALECHA TOURS & TRAVEL,Jaipur,No Stipend,"Client Relationship, Sales, Travel Itinerary Making"
Business Development (Sales),UniqgridActively hiring,"Chennai, Coimbatore, Pune, Bangalore",No Stipend,"Social Media Marketing, Email Marketing, MS-Excel, Business Analysis, Inside Sales, Business Research, English Proficiency (Spoken)"
Market Research,UniqgridActively hiring,Gurgaon,No Stipend,"MS-PowerPoint, Critical thinking, Analytical Thinking, MS-Excel, Business Analysis, Business Research, English Proficiency (Spoken)"
Business Development (Sales),StackDot,Ahmedabad,No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Business Development (Sales),BrainShaala,Work from home,No Stipend,"Social Media Marketing, MS-Excel, Lead Generation, Effective Communication"
Accounting & Tally,Indo European Educational Services Private LimitedActively hiring,Delhi,No Stipend,"Tally, MS-Excel"
Guest Relations,CozyCave Hospitality LLPActively hiring,Work from home,No Stipend,"Team Management, Teamwork, English Proficiency (Spoken), Effective Communication"
Virtual Psychology - Assistant For Founder (Psychology/Mental Health Background),PEPPYEX OPC PRIVATE LIMITEDActively hiring,Work from home,No Stipend,"Effective Communication, Prioritization, Psychology, Scheduling"
Law/Legal,Olisa Reality Pvt. Ltd,Kolkata,No Stipend,"MS-Word, Legal Research, Company Law, English Proficiency (Spoken), English Proficiency (Written), Labour laws, Administrative Support"
Business Development (Sales),Sankar GroupActively hiring,Work from home,No Stipend,"Marketing Strategy, Sales Management, Sales Support, Sales, Sales Strategy"
Human Resources (HR),Circle Health,Bangalore(Hybrid),No Stipend,"MS-Excel, English Proficiency (Spoken)"
Human Resources (HR),Samosa Party Foods Private Limited,Bangalore,No Stipend,"MS-Office, Recruitment, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Canva"
QA Testing,Transition Computing IndiaActively hiring,Hyderabad,No Stipend,"Software Testing, Manual Testing, Cypress, Test Automation, Test Case Design"
Content and Social Media Marketing,AyurVAID Hospitals,Bangalore,No Stipend,"Content Writing, Video Editing, Adobe Creative Suite, Search Engine Optimization (SEO), Content Management, Canva"
Customer Service/Customer Support,Naigaon Internet Service Pvt.Ltd,Naigaon,No Stipend,"MS-Office, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Effective Communication"
Product Marketing,WorkikActively hiring,Work from home,No Stipend,"Content Writing, Python, Search Engine Marketing (SEM), English Proficiency (Written)"
Content Writing,Flaer Venkat,Hyderabad,No Stipend,"Blogging, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Written)"
Marketing,1Click Capital,Mumbai,No Stipend,Digital Marketing
