Title,Company,Location,Stipend,Skills
Exhibitions & Programs,APRE Art HouseActively hiring,Mumbai,No Stipend,"English Proficiency (Spoken), English Proficiency (Written)"
Influencer Marketing,BOLD ROSE PRIVATE LIMITEDActively hiring,"Delhi, Noida(Hybrid)",No Stipend,"Social Media Marketing, Event Management, Public Relations, Public Speaking, English Proficiency (Spoken), Instagram Marketing, Effective Communication"
Videography,Gimme GammaActively hiring,Bangalore,No Stipend,"Video Editing, Videography, Video Making, Effective Communication"
Field Sales,Sipani Properties (P) LimitedActively hiring,Bangalore,No Stipend,English Proficiency (Spoken)
Brand Communication,IDDA AssuranceActively hiring,Mumbai,No Stipend,Effective Communication
Digital Marketing,Finzo Ventures Private LimitedActively hiring,Bangalore,No Stipend,English Proficiency (Spoken)
Digital Marketing,High Carat Gems & JewelleryActively hiring,"Surat, Navsari, Ankleshwar, Bardoli, Kim, Sayan, Kadodara, Haripura, Amroli",No Stipend,"Social Media Marketing, Google Analytics, Search Engine Marketing (SEM), Digital Marketing, Google AdWords, Search Engine Optimization (SEO), English Proficiency (Written)"
Fashion Design And Merchandising,BaradariXJustAnotherTailorActively hiring,Delhi,No Stipend,"Adobe Photoshop, Adobe Illustrator, Fashion Designing, Fashion Styling"
Digital Marketing,Rama KrishnaActively hiring,Hyderabad(Hybrid),No Stipend,"Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), Facebook Marketing, Creative Writing, Email Marketing"
Data Entry - Hyderabad,Calipers Consulting Private LimitedActively hiring,Hyderabad(Hybrid),No Stipend,"MS-Office, MS-Excel, Data entry, English Proficiency (Spoken), English Proficiency (Written), Power BI, Data Extraction"
Data Entry - Hyderabad,Calipers Consulting Private LimitedActively hiring,"Secunderabad, Hyderabad(Hybrid)",No Stipend,"MS-Office, MS-Excel, Data entry, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Natturz Bio Kontrol Private LimitedActively hiring,"Dehradun, Mussoorie(Hybrid)",No Stipend,"Social Media Marketing, Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken)"
Human Resources (HR),Skillbee India Private LimitedActively hiring,Delhi,No Stipend,"MS-Office, MS-Word, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Customer Acquisition,CircleActively hiring,Bangalore,No Stipend,"MS-Excel, English Proficiency (Written), Effective Communication, ChatGPT"
Finance & Accounting,Finzo Ventures Private LimitedActively hiring,Bangalore,No Stipend,English Proficiency (Spoken)
Entry Level Software Engineer,Mple AIActively hiring,Mumbai,No Stipend,"JavaScript, MongoDB, Node.js, Express.js, React"
Corporate Sales,GiftcarnationActively hiring,Delhi,No Stipend,"MS-Office, Digital Marketing, MS-Excel, English Proficiency (Spoken)"
Content and Social Media Marketing,TechprolabzActively hiring,Patna,No Stipend,"Adobe Photoshop, Video Editing, Photography, Image Editing, Storytelling, Canva, Instagram Marketing"
Business Operations,Ascent HRActively hiring,Bangalore(Hybrid),No Stipend,"MS-Excel, Effective Communication"
Content Writing,Rank Revenue DigitechActively hiring,"Faridabad, Delhi",No Stipend,"Blogging, Creative Writing, English Proficiency (Written)"
Law/Legal,Indika AI Private LimitedActively hiring,South,No Stipend,"MS-Office, Legal Research, Legal Drafting, English Proficiency (Spoken), English Proficiency (Written), Legal Writing"
Trainer For IT Training Institute,Hinisys SoftwareActively hiring,Chennai,No Stipend,"Java, Python, Automation, LLM evaluation"
E-Commerce Operations,Matree JewelsActively hiring,Bangalore(Hybrid),No Stipend,"MS-Excel, Coordination, Product Management, Effective Communication, Logistics Management, Order Management"
Electronics And Mechanical Engineer,Single Mind Software And ResearchActively hiring,Pune,No Stipend,Mechanical & Electrical Product Design
Law/Legal,Finodaya Capital Private LimitedActively hiring,Mumbai,No Stipend,"Legal Drafting, Interpersonal skills, Statutory compliances, Financial Services, Regulatory Affairs"
Architecture,MIX-DESIGNActively hiring,"Pune, Pimpri-Chinchwad",No Stipend,"AutoCAD, Adobe Photoshop, Google SketchUp"
Video Editing/Making,Cosette Network Private LimitedActively hiring,"Delhi, Ghaziabad, Greater Noida, Noida",No Stipend,"Adobe Photoshop, Adobe Illustrator, Video Editing, Adobe Premiere Pro, Final Cut Pro, Video Making"
