id,Title,Locations,Skills
142,Business Development (Sales),Delhi(Hybrid),English Proficiency (Spoken) English Proficiency (Written) Sales
144,Marketing,Delhi Gurgaon,MS-Office MS-Excel Interpersonal skills Marketing Effective Communication
145,Video Editing/Making,Gurgaon,Adobe Photoshop Video Editing Adobe Premiere Pro Final Cut Pro Video Making Adobe After Effects DaVinci Resolve
146,Performance Marketing,Thane Navi Mumbai Mumbai Virar Vashi Vasai Mira Bhayandar Nala Sopara Borivali Tarf Rahur Vasai-Virar Bandra,Google AdWords Facebook Marketing Lead Generation English Proficiency (Spoken) English Proficiency (Written) Facebook Ads Instagram Ads
147,Digital Marketing,Mumbai,Digital Marketing Search Engine Optimization (SEO) Creative Writing English Proficiency (Written) Instagram Marketing
148,Social Media Marketing,Delhi,Social Media Marketing Digital Marketing Search Engine Optimization (SEO) English Proficiency (Written) Instagram Marketing
149,Product Management,Bangalore,MS-Excel Product Management Figma
150,Mechanical Engineering,Delhi Noida,AutoCAD MS-Office Thermodynamics Autodesk Fusion 360 Structural Analysis CAD Effective Communication
151,Search Engine Optimization (SEO),Hyderabad,Search Engine Optimization (SEO)
152,Product Analytics,Bangalore,Python SQL Power BI
153,Accounting,Delhi(Hybrid),Accounting Tally MS-Excel Data entry Google Workspace Invoice Processing Financial Reporting
154,Business Development (Sales),Noida,MS-Office Negotiation MS-Excel Client Relationship Sales Support English Proficiency (Spoken) Hindi Proficiency (Spoken)
155,Architecture,Delhi Gurgaon Noida,AutoCAD MS-Office Adobe Photoshop Google SketchUp Effective Communication
156,Social Media Marketing,Gurgaon,Social Media Marketing Digital Marketing Facebook Marketing Instagram Marketing
157,Business Development (Sales),Rajkot(Hybrid),Sales Management Client Relationship Sales Strategy
158,Personal Assistant,Lucknow,Social Media Marketing Search Engine Optimization (SEO) Facebook Marketing Business Management
159,Business Development (Sales),Vishakhapatnam(Hybrid),Sales Management Client Relationship Sales Strategy
160,Business Development (Sales),Goa Velha(Hybrid),Sales Management Client Relationship Sales Strategy
161,Customer Service/Customer Support,Jaipur,Client Interaction Client Relationship English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
162,Business Development (Sales),Aurangabad(Hybrid),Sales Management Client Relationship Sales Strategy
163,Business Development (Sales),Jaipur,Leadership Client Interaction Client Relationship English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
164,Social Media Marketing,Vadodara(Hybrid),Social Media Marketing Videography Digital Marketing Facebook Marketing Creative Writing Email Marketing English Proficiency (Spoken)
165,Human Resources (HR),Dehradun,MS-Office Recruitment MS-Word MS-Excel Coordination Teamwork English Proficiency (Spoken)
166,Post Sales Internship,Jaipur,Client Interaction Client Relationship Sales Support English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
167,Search Engine Optimization (SEO),Jaipur,Social Media Marketing Google Analytics Search Engine Marketing (SEM) Digital Marketing Google AdWords Search Engine Optimization (SEO) English Proficiency (Written)
168,Business Development (Sales),Raipur(Hybrid),Sales Management Client Relationship Sales Strategy
169,Pre Sales Intern,Bangalore,Interpersonal skills Effective Communication
170,Content Writing,Jaipur,Social Media Marketing Blogging Digital Marketing Search Engine Optimization (SEO) Creative Writing English Proficiency (Spoken) English Proficiency (Written)
171,Human Resources (HR),Dehradun,Leadership MS-Office Recruitment MS-Word MS-Excel English Proficiency (Spoken) English Proficiency (Written)
172,Business Development (Sales),Surat(Hybrid),Sales Management Client Relationship Sales Strategy
173,Business Analyst,Indore Hyderabad,Client Interaction Client Relationship Management (CRM) Business Analysis Client Relationship Business Development Research and Analytics
174,Business Development (Sales),Vijayawada(Hybrid),Sales Management Client Relationship Sales Strategy
175,Field Sales,Raipur,Lead Generation English Proficiency (Spoken) Hindi Proficiency (Spoken) Business Development Field Sales
176,Quality Analyst,Indore Hyderabad,Manual Testing Automation Performance Testing Jira Agile Methodology TestNG WebDriver
177,Business Development (Sales),Kochi(Hybrid),Sales Management Client Relationship Sales Strategy
178,Business Development (Sales),Vadodara(Hybrid),Sales Management Client Relationship Sales Strategy
179,Car Advisor,Pune,Negotiation Client Relationship Sales Effective Communication Collaboration
180,Digital Marketing,Thane Mumbai,Google AdWords Search Engine Optimization (SEO) Email Marketing Instagram Marketing
181,Business Development (Sales),Delhi(Hybrid),Social Media Marketing Digital Marketing Email Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken)
182,Live Stream Trader,Jaipur,Market Analysis Stock Trading Effective Communication
183,Field Sales,Jaipur,Lead Generation English Proficiency (Spoken) Hindi Proficiency (Spoken) Business Development Field Sales
185,Social Media Marketing,Mumbai(Hybrid),Social Media Marketing Digital Marketing Facebook Marketing English Proficiency (Written) Instagram Marketing
186,Business Development (Sales),Guwahati(Hybrid),Sales Management Client Relationship Sales Strategy
187,Business Development (Sales),Dehradun(Hybrid),Sales Management Client Relationship Sales Strategy
188,Business Development (Sales),Chandigarh(Hybrid),Sales Management Client Relationship Sales Strategy
189,Videography,Pune Nanded Morshi,Video Making
190,Web Development,Ahmedabad,PHP MySQL HTML CSS JavaScript jQuery WordPress
191,Graphic Design,Work from home,Adobe Photoshop CorelDRAW Video Editing Adobe Creative Suite Figma
192,Company Secretary (CS),Pune Pimpri-Chinchwad,MS-Office Attention to Detail Company Law Teamwork English Proficiency (Spoken) English Proficiency (Written) Statutory compliances
193,Content & E-Commerce Management,Kanpur,English Proficiency (Written) Canva
194,Recruitment,Mohali,Recruitment English Proficiency (Spoken) English Proficiency (Written)
195,Research,Noida,Python SQL Machine Learning Tableau Artificial intelligence Google Sheets Microsoft 365
196,Java Development,Gurgaon,Java MySQL JSP J2EE Hibernate ORM(Java) Spring MVC Effective Communication
197,Business Development (Sales),Patna(Hybrid),Sales Management Client Relationship Sales Strategy
198,Video Editing/Making,Work from home,Video Editing Adobe Premiere Pro Final Cut Pro
199,Customer Service/Customer Support,Jaipur,Problem Solving Interpersonal skills Effective Communication
200,Community Management,Indore(Hybrid),Social Media Marketing Data Interpretation Content Marketing Counseling
201,Human Resource,Faridabad Delhi Ghaziabad Gurgaon Lucknow(Hybrid),Recruitment Problem Solving Human Resources Effective Communication
202,General Manager,Hyderabad(Hybrid),English Proficiency (Spoken) English Proficiency (Written)
203,General Management,Work from home,English Proficiency (Spoken)
204,Human Resources (HR),Thane Navi Mumbai Dombivli Kalyan Mumbai Vashi Bandra,MS-Excel English Proficiency (Spoken) English Proficiency (Written)
205,Business Development (Sales),Jaipur,Problem Solving Interpersonal skills Effective Communication
207,Business Development (Sales),Mumbai,MS-Office Effective Communication
208,Graphic Design,Work from home,Adobe Photoshop Adobe Illustrator Figma
209,Marketing,Ahmedabad,English Proficiency (Spoken) Interpersonal skills
210,WhatsApp Marketing Manager,Hyderabad(Hybrid),English Proficiency (Spoken) English Proficiency (Written)
211,Business Development (Sales),Jaipur(Hybrid),Sales Management Client Relationship Sales Strategy
212,Business Development (Sales),Work from home,English Proficiency (Spoken) Business Development Stock Trading Research and Analytics
213,Marketing,Mumbai,MS-Office MS-Excel Marketing Effective Communication
214,Sales & Marketing,Bangalore,Lead Generation Sales Management Sales
215,Social Media Marketing,Mumbai,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Creative Writing English Proficiency (Written)
216,Business Development & Ventures Associate,Lucknow(Hybrid),MS-Word MS-PowerPoint MS-Excel Interpersonal skills Effective Communication
217,Product Management,Ahmedabad(Hybrid),Entrepreneurship Product Management English Proficiency (Spoken) Product Lifecycle Management(PLM)
218,Business Development (Sales),Ahmedabad(Hybrid),Sales Management Client Relationship Sales Strategy
219,Social Media Marketing,Work from home,Social Media Marketing
220,Marketing,Delhi Gurgaon,Digital Marketing Market Analysis Strategy Content Marketing English Proficiency (Spoken) Market research
221,Business Development,Jaipur,Client Relationship Management (CRM) Sales Management Interpersonal skills Effective Communication
222,Content Creation,Bangalore,Creativity Video Editing Video Making Content Management Effective Communication Collaboration AI Video Generation
223,Content & E-Commerce Management,Noida,MS-Excel English Proficiency (Spoken) English Proficiency (Written)
224,Business Development Representative,Chandigarh(Hybrid),Cold Calling Computer skills English Proficiency (Spoken) Business Development Interpersonal skills Sales Effective Communication
226,DevOps Engineer,Indore Hyderabad,Linux Machine Learning Jenkins Ansible Kubernetes CI/CD Terraform
227,Content and Social Media Marketing,Work from home,Social Media Marketing Content Writing Video Editing Instagram Marketing Facebook Ads Instagram Ads Content Editing
228,LinkedIn Job Posting,Work from home,Time Management LinkedIn Marketing LinkedIn Ads
229,Business Development (Sales),Nizamabad(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
230,Marketing / Content Creator,Delhi Noida,Social Media Marketing Content Writing Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro
231,Social Media Marketing,Raipur,Social Media Marketing
232,Business Development (Sales),Khammam(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
233,Content Writing,Bhilai,Content Writing Blogging Creative Writing English Proficiency (Spoken) English Proficiency (Written)
234,Business Development (Sales),Karimnagar(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
235,Business Development (Sales),Kadapa(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
236,Video Editing (Reels For Instagram),Work from home,Video Editing Adobe Premiere Pro Digital Marketing DaVinci Resolve Filmora Capcut
237,Business Development (Sales),Nellore(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
238,Marketing,Chandigarh(Hybrid),Event Management Market research Marketing Strategies
239,Accounting,Lucknow,Tally MS-Excel Problem Solving
240,Business Development (Sales),Kurnool(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
241,Sales,Gurgaon,Sales Support Sales Travel Itinerary Making Travel Management
242,Business Development (Sales),Tirupati(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
243,Business Development (Sales),Warangal Hanamkonda(Hybrid),Negotiation Client Relationship Management (CRM) Field Work Sales Marketing Effective Communication Sales Strategy
244,Social Media Marketing,Pune(Hybrid),Social Media Marketing Digital Marketing Facebook Marketing Creative Writing English Proficiency (Spoken) English Proficiency (Written) Instagram Marketing
245,Search Engine Optimization (SEO),Mumbai,Google Analytics Digital Marketing Search Engine Optimization (SEO) English Proficiency (Written)
246,Sales and Marketing,Pune,Leadership Client Relationship English Proficiency (Spoken) Interpersonal skills Sales Marketing Effective Communication
247,Graphic Design,Mumbai,Adobe Photoshop Adobe Illustrator Video Editing Adobe InDesign
248,Social Media Marketing,Navi Mumbai(Hybrid),Social Media Marketing English Proficiency (Written) Instagram Marketing
249,Operations & Admin,Delhi(Hybrid),Operations Teamwork Administrative Support Collaboration Performance Monitoring Microsoft 365
250,Event Manager,Bangalore,Social Media Marketing Event Management Effective Communication Community Management
251,Video Editing/Making,Noida,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro Video Making
252,Human Resource HR (Female),Jaipur,Recruitment Cold Calling English Proficiency (Spoken) Human Resource Information System (HRIS) Employment engagement Grievance Handling Onboarding
253,Campus Ambassador,Work from home,English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Marketing Effective Communication
254,Talent Acquisition,Mumbai,Recruitment English Proficiency (Spoken)
255,Instagram Marketing,Work from home,LinkedIn Marketing Instagram Marketing Marketing Instagram Ads LinkedIn Ads
256,Google Ad Specialist,Mumbai,Creative Writing Copywriting Effective Communication
257,Event Reachout Executive And Marketing,Mumbai,MS-Excel Interpersonal skills Effective Communication
258,Content and Social Media Marketing,Mumbai,Social Media Marketing Video Editing Video Making Adobe After Effects Content Marketing Marketing Video Marketing
259,Marathi Audio Recording-Native Speakers (Only Male),Work from home,Creative Writing Proofreading English Proficiency (Spoken) English Proficiency (Written) Marathi Proficiency(Written) Marathi Proficiency(Spoken) Voice-over artist
260,Telugu Audio Recording-Native Speakers (Male),Work from home,Creative Writing Proofreading English Proficiency (Spoken) English Proficiency (Written) Telugu Proficiency (Written) Telugu Proficiency (Spoken) Voice-over artist
261,English Audio Recording Expert (Male),Work from home,Creative Writing Proofreading English Proficiency (Spoken) English Proficiency (Written) Voice-over artist
262,Creative AI Editor,Indore,Social Media Marketing Creativity Video Editing Video Making Artificial intelligence AI Video Generation AI Image Generation
263,Human Resources (HR),Chennai,English Proficiency (Spoken)
264,Content Creator (Female),Ahmedabad(Hybrid),English Proficiency (Spoken) Effective Communication
265,Business Development (Sales),Indore(Hybrid),Sales Management Client Relationship Sales Strategy
267,Full Stack Development (MERN Migration),Work from home,PHP MySQL JavaScript Node.js Express.js React
268,International Language Transcription,Work from home,French Proficiency (written) English Proficiency (Written) Hindi Proficiency (Written) Kannada Proficiency (Written) Bengali Proficiency (Written) Urdu Proficiency(Written) Spanish Proficiency(Written)
269,Digital Marketing,Work from home,Social Media Marketing Content Writing Digital Marketing Search Engine Optimization (SEO) Marketing Campaigns HubSpot
270,Content & E-Commerce Management,Work from home,Content Writing Video Editing Video Making Content Management Content Editing
271,Founder’s Office,Greater Noida West Noida,Digital Marketing Strategy Analytical Thinking Web development Interpersonal skills Effective Communication
272,Mechanical Engineering,Bhubaneswar,AutoCAD MS-Office
